#Scores are a little lower than they could be because of my naming conventions from leetcode and me
averagescore  248,05/10
3818          0.00/10
3823          5.00/10
3827          0.00/10
3830          8.21/10
3832          1.25/10
3833          3.00/10
3834          1.25/10
3835          7.59/10
3836          5.24/10
3838          4.00/10
3841          8.37/10
3842          0.00/10
3843          0.00/10
3844          7.50/10
3845          6.07/10
3847          2.14/10
3848          0.00/10
3852          0.00/10
3854          6.83/10
3855          0.00/10
3856          0.00/10
3861          0.00/10
3862          3.53/10
3863          6.97/10
3866          0.00/10
3867          4.38/10
3868          1.43/10
3870          0.00/10
3871          4.62/10
3872          4.89/10
3873          7.89/10
3875          0.00/10
3876          0.00/10
3878          7.56/10
3880          5.33/10
3881          0.00/10
3882          4.64/10
3883          3.79/10
3884          0.00/10
3885          3.89/10
3886          7.95/10
3889          1.88/10
3890          5.56/10
3992          6.55/10
3894          1.11/10
3895          0.00/10
3896          6.92/10
3897          6.30/10
3898          0.00/10
3899          1.54/10
3900          7.88/10
3901          6.87/10
3903          6.32/10
3904          2.67/10
3905          4.67/10
3908          0.00/10
3909          5.56/10
3910          5.00/10
3912          6.67/10
3913          3.33/10
3914          0.00/10
3915          7.38/10
3918          5.88/10
3920          5.88/10
3962          7.02/10
3966          5.00/10
3971          4.74/10
