#Scores are a little lower than they could be because of my naming conventions from leetcode and me
averagescore  2,34/10
3818          0.00/10
3823          2.35/10
3827          0.91/10
3830          2.69/10
3833          2.14/10
3834          0.00/10
3835          4.29/10
3836          0.67/10
3838          0.83/10
3841          8.00/10
3842          0.00/10
3843          0.00/10
3844          5.00/10
3845          6.40/10
3847          4.00/10
3848          0.00/10
3852          0.00/10
3854          4.57/10
3855          0.00/10
3856          0.00/10
3861          0.00/10
3862          1.33/10
3863          0.00/10
3866          0.00/10
3867          1.58/10
3868          5.76/10
3870          0.00/10
3871          0.00/10
3872          5.50/10
3873          5.16/10
3875          0.00/10
3876          0.00/10
3878          1.20/10
3880          2.67/10
3881          1.00/10
3882          3.64/10
3883          3.79/10
3884          0.00/10
3885          3.16/10
3886          4.57/10
3889          3.12/10
3890          0.00/10
3992          6.92/10
3894          0.00/10
3895          0.00/10
3896          4.09/10
3897          1.60/10
3898          0.00/10
3899          4.71/10
3900          0.00/10
3901          6.30/10
3903          4.00/10
3904          1.76/10
3905          1.58/10
3908          0.00/10
3909          2.86/10
3910          5.45/10
3912          6.67/10
3913          3.00/10
3914          0.00/10
3915          5.00/10
3918          2.94/10
3920          0.00/10
3962          3.67/10
3966          3.00/10
3971          5.28/10
